Date,Open,High,Low,Close,Volume,Ticker
2020-02-12 00:00:00+05:30,1195.36534,1202.757246,1194.261458,1199.013306,3148965,HDFCBANK.NS
2020-02-13 00:00:00+05:30,1209.477011,1209.477011,1184.229528,1191.717407,4556070,HDFCBANK.NS
2020-02-14 00:00:00+05:30,1193.445394,1198.437353,1166.374043,1170.549927,7344429,HDFCBANK.NS
2020-02-17 00:00:00+05:30,1175.973674,1183.653502,1165.845854,1168.437866,5076345,HDFCBANK.NS
2020-02-18 00:00:00+05:30,1168.198037,1169.73398,1155.3343,1164.694092,5264558,HDFCBANK.NS
2020-02-19 00:00:00+05:30,1173.573841,1180.77368,1165.318048,1178.085693,5006134,HDFCBANK.NS
2020-02-20 00:00:00+05:30,1180.773763,1180.773763,1165.510079,1168.390015,5561707,HDFCBANK.NS
2020-02-24 00:00:00+05:30,1160.566022,1166.133945,1151.974261,1161.526001,8284042,HDFCBANK.NS
2020-02-25 00:00:00+05:30,1155.814203,1160.614096,1150.054332,1152.262329,6943340,HDFCBANK.NS
2020-02-26 00:00:00+05:30,1149.574432,1156.486231,1138.198708,1151.254395,6907393,HDFCBANK.NS
2020-02-27 00:00:00+05:30,1147.17431,1154.374148,1133.734611,1151.446167,10327549,HDFCBANK.NS
2020-02-28 00:00:00+05:30,1128.454821,1137.574618,1123.270914,1130.518799,12156528,HDFCBANK.NS
2020-03-02 00:00:00+05:30,1152.166159,1153.078209,1119.478961,1132.390625,7332449,HDFCBANK.NS
2020-03-03 00:00:00+05:30,1127.974785,1137.910539,1121.254935,1134.502686,11184775,HDFCBANK.NS
2020-03-04 00:00:00+05:30,1131.190705,1132.774693,1087.751676,1102.871338,17144435,HDFCBANK.NS
2020-03-05 00:00:00+05:30,1106.85535,1118.375094,1097.01557,1105.271362,9774854,HDFCBANK.NS
2020-03-06 00:00:00+05:30,1079.975925,1095.239608,1056.936438,1089.479736,11526783,HDFCBANK.NS
2020-03-09 00:00:00+05:30,1065.57627,1073.640114,1022.377232,1062.984375,17210295,HDFCBANK.NS
2020-03-11 00:00:00+05:30,1060.776263,1075.175941,1048.296543,1069.224121,17769120,HDFCBANK.NS
2020-03-12 00:00:00+05:30,1031.977075,1036.776968,963.2906126,980.4262085,29500385,HDFCBANK.NS
2020-03-13 00:00:00+05:30,940.8269733,1038.168764,882.4123015,1026.985107,33171182,HDFCBANK.NS
2020-03-16 00:00:00+05:30,993.577836,995.4977931,955.1786926,959.4985962,15993161,HDFCBANK.NS
2020-03-17 00:00:00+05:30,967.6583914,969.5783485,916.4915457,936.0750732,21338419,HDFCBANK.NS
2020-03-18 00:00:00+05:30,945.5788975,953.2587261,830.3814683,841.8052368,30590703,HDFCBANK.NS
2020-03-19 00:00:00+05:30,813.1018532,883.1323019,763.1829673,859.7088013,33610024,HDFCBANK.NS
2020-03-20 00:00:00+05:30,839.9812207,877.9963474,791.5502918,847.5170288,44318732,HDFCBANK.NS
2020-03-23 00:00:00+05:30,762.7989419,805.1820188,734.3835999,740.6714478,25138477,HDFCBANK.NS
2020-03-24 00:00:00+05:30,763.4229215,777.5826048,709.1841349,736.9755249,30528636,HDFCBANK.NS
2020-03-25 00:00:00+05:30,739.6154731,832.7333909,725.0237877,822.4616089,23614021,HDFCBANK.NS
2020-03-26 00:00:00+05:30,835.2773459,900.1719336,807.3419924,865.0366821,28521578,HDFCBANK.NS
2020-03-27 00:00:00+05:30,907.1317564,949.0828314,837.1972828,868.2526245,27617968,HDFCBANK.NS
2020-03-30 00:00:00+05:30,844.7812165,851.5010671,794.8623264,798.366272,19634222,HDFCBANK.NS
2020-03-31 00:00:00+05:30,819.6297168,838.6372814,804.4620666,827.4055786,17605546,HDFCBANK.NS
