Date,Close,High,Low,Open,Volume,Ticker
02-01-2019,37.70859909057617,37.93066910553558,36.827489514084306,36.98508711908281,148158800,AAPL
03-01-2019,33.952545166015625,34.79544861163196,33.90717582666171,34.37996500461738,365248800,AAPL
04-01-2019,35.401954650878906,35.471203738536325,34.33698486073971,34.511295373347224,234428400,AAPL
07-01-2019,35.32314682006836,35.53805358073323,34.838417904527745,35.50701064292293,219111200,AAPL
08-01-2019,35.99652862548828,36.25202812317135,35.46404368325892,35.71237634060284,164101200,AAPL
09-01-2019,36.607818603515625,36.89913413475812,35.729098973468155,36.12547595683784,180396400,AAPL
10-01-2019,36.724815368652344,36.765408029534306,36.02279297137257,36.414396830894425,143122800,AAPL
11-01-2019,36.36423873901367,36.70092343303354,36.177988406904205,36.50512339005003,108092800,AAPL
14-01-2019,35.81744384765625,36.12069922575727,35.63119343113154,36.02041082020849,129756800,AAPL
15-01-2019,36.55050277709961,36.62691141573882,35.82937734908788,35.881909882200276,114843600,AAPL
16-01-2019,36.99701690673828,37.221473378076176,36.53377757543026,36.55288064145234,122278800,AAPL
17-01-2019,37.21670913696289,37.64651915724122,36.59587203616769,36.820328582509624,119284800,AAPL
18-01-2019,37.44594192504883,37.699051255274355,37.245361488902034,37.608312573292196,135004000,AAPL
22-01-2019,36.605430603027344,37.4244544540563,36.443056286243944,37.34804579709985,121576000,AAPL
23-01-2019,36.753475189208984,37.04479071109913,36.223376691575375,36.80839425343904,92522400,AAPL
24-01-2019,36.462162017822266,36.88719545056193,36.232932386713316,36.798846909774035,101766000,AAPL
25-01-2019,37.67040252685547,37.758754709205135,36.84899211630429,37.12597761073308,134142000,AAPL
28-01-2019,37.3217658996582,37.3289290947723,36.691379224853904,37.19998429564318,104768400,AAPL
29-01-2019,36.934940338134766,37.75874432744338,36.798835968295656,37.30983127165065,166348800,AAPL
30-01-2019,39.45887756347656,39.6737807342436,38.260186283868904,38.9813117230714,244439200,AAPL
31-01-2019,39.7430305480957,40.354314252024146,39.294117483975256,39.66423174576361,162958400,AAPL
01-02-2019,39.76213455200195,40.34953851983723,39.62124985411284,39.86719962424263,130672400,AAPL
04-02-2019,40.89157485961914,40.989476730812505,39.94360638014959,39.974649325537285,125982000,AAPL
05-02-2019,41.591209411621094,41.80611623687875,41.1542398516945,41.27601783553029,144406400,AAPL
06-02-2019,41.60552978515625,41.92311144867628,41.27362173198739,41.703427995602425,112958400,AAPL
07-02-2019,40.81755065917969,41.533899379365955,40.67427945772723,41.16617166262239,126966800,AAPL
08-02-2019,40.865516662597656,40.92546841980732,40.38829935790935,40.52499112074653,95280000,AAPL
